Order Date,Order ID,Category,Channel,Units,Revenue
2024-06-01,SO-700000,Home,Web,1,188.6
2024-06-01,SO-700001,Home,Retail,1,23.31
2024-06-01,SO-700002,Outdoor,Web,2,80.9
2024-06-01,SO-700003,Apparel,Marketplace,2,183.72
2024-06-01,SO-700004,Outdoor,Web,-5,-451.6
2024-06-01,SO-700005,Apparel,Marketplace,-2,-97.22
2024-06-01,SO-700006,Electronics,Web,4,319.4
2024-06-01,SO-700007,Home,Web,3,140.25
2024-06-02,SO-700008,Outdoor,Marketplace,1,60.23
2024-06-02,SO-700009,Outdoor,Web,2,101.1
2024-06-02,SO-700010,Apparel,Web,2,165.2
2024-06-02,SO-700011,Home,Web,-2,-19.08
2024-06-02,SO-700012,Home,Retail,2,142.78
2024-06-02,SO-700013,Home,Web,5,60.2
2024-06-02,SO-700014,Home,Marketplace,-2,-116.3
2024-06-02,SO-700015,Apparel,Marketplace,1,53.72
2024-06-02,SO-700016,Outdoor,Retail,-3,-108.39
2024-06-02,SO-700017,Home,Marketplace,1,54.12
2024-06-03,SO-700018,Apparel,Retail,2,306.46
2024-06-03,SO-700019,Home,Web,4,446.36
2024-06-03,SO-700020,Home,Retail,5,240.2
2024-06-04,SO-700021,Apparel,Web,2,294.8
2024-06-04,SO-700022,Outdoor,Web,-5,-232.45
2024-06-04,SO-700023,Apparel,Web,4,55.96
2024-06-04,SO-700024,Apparel,Web,1,101.17
2024-06-04,SO-700025,Electronics,Retail,5,913.2
2024-06-04,SO-700026,Home,Marketplace,4,613.56
2024-06-05,SO-700027,Electronics,Web,2,190.18
2024-06-05,SO-700028,Electronics,Web,2,183.94
2024-06-05,SO-700029,Home,Web,4,782.2
2024-06-05,SO-700030,Home,Marketplace,1,30.31
2024-06-05,SO-700031,Outdoor,Web,-5,-421.85
2024-06-05,SO-700032,Electronics,Marketplace,5,192.5
2024-06-05,SO-700033,Home,Web,5,653.95
2024-06-06,SO-700034,Electronics,Retail,4,453.04
2024-06-06,SO-700035,Electronics,Marketplace,-5,-63.05
2024-06-06,SO-700036,Apparel,Web,5,656.7
2024-06-06,SO-700037,Outdoor,Web,1,97.3
2024-06-06,SO-700038,Apparel,Retail,1,57.83
2024-06-06,SO-700039,Home,Retail,3,179.76
2024-06-06,SO-700040,Apparel,Marketplace,5,245.55
2024-06-06,SO-700041,Apparel,Web,3,336.78
2024-06-07,SO-700042,Home,Web,1,36.19
2024-06-07,SO-700043,Electronics,Marketplace,1,39.92
2024-06-07,SO-700044,Apparel,Retail,1,21.15
2024-06-08,SO-700045,Apparel,Web,1,28.84
2024-06-08,SO-700046,Outdoor,Web,5,171.05
2024-06-08,SO-700047,Home,Marketplace,1,190.95
2024-06-08,SO-700048,Outdoor,Web,1,27.68
2024-06-08,SO-700049,Home,Web,3,74.79
2024-06-08,SO-700050,Electronics,Web,5,183.7
2024-06-08,SO-700051,Apparel,Web,2,120.06
2024-06-09,SO-700052,Apparel,Marketplace,1,53.57
2024-06-09,SO-700053,Outdoor,Web,1,48.01
2024-06-09,SO-700054,Electronics,Marketplace,1,90.75
2024-06-09,SO-700055,Electronics,Web,1,53.16
2024-06-09,SO-700056,Electronics,Retail,4,57.84
2024-06-09,SO-700057,Electronics,Marketplace,1,30.04
2024-06-10,SO-700058,Electronics,Retail,5,538.5
2024-06-10,SO-700059,Electronics,Marketplace,5,749.15
2024-06-10,SO-700060,Apparel,Web,-3,-403.8
2024-06-10,SO-700061,Electronics,Retail,1,31.25
2024-06-10,SO-700062,Electronics,Marketplace,5,50.6
2024-06-10,SO-700063,Outdoor,Retail,5,216.95
2024-06-10,SO-700064,Apparel,Web,1,34.67
2024-06-10,SO-700065,Outdoor,Web,2,284.92
2024-06-11,SO-700066,Outdoor,Marketplace,5,672.95
2024-06-11,SO-700067,Apparel,Web,2,115.66
2024-06-11,SO-700068,Apparel,Web,3,160.59
2024-06-11,SO-700069,Apparel,Web,2,134.1
2024-06-11,SO-700070,Outdoor,Marketplace,4,374.96
2024-06-11,SO-700071,Home,Web,2,113.16
2024-06-11,SO-700072,Apparel,Web,1,66.36
2024-06-11,SO-700073,Apparel,Marketplace,1,295.71
2024-06-11,SO-700074,Electronics,Web,-4,-59.44
2024-06-11,SO-700075,Electronics,Marketplace,1,170.8
2024-06-11,SO-700076,Apparel,Marketplace,1,72.74
2024-06-12,SO-700077,Outdoor,Marketplace,2,40.06
2024-06-12,SO-700078,Electronics,Marketplace,5,532.3
2024-06-12,SO-700079,Electronics,Marketplace,1,72.15
2024-06-12,SO-700080,Apparel,Web,1,23.09
2024-06-12,SO-700081,Apparel,Web,4,147.68
2024-06-12,SO-700082,Apparel,Web,5,192.65
2024-06-12,SO-700083,Apparel,Web,2,73.94
2024-06-12,SO-700084,Apparel,Marketplace,1,38.94
2024-06-13,SO-700085,Apparel,Web,2,115.02
2024-06-13,SO-700086,Home,Web,4,131.2
2024-06-13,SO-700087,Apparel,Web,3,55.23
2024-06-13,SO-700088,Apparel,Retail,1,14.89
2024-06-13,SO-700089,Apparel,Web,2,193.06
2024-06-13,SO-700090,Electronics,Retail,1,51.35
2024-06-13,SO-700091,Electronics,Marketplace,2,98.88
2024-06-13,SO-700092,Apparel,Web,1,80.96
2024-06-13,SO-700093,Outdoor,Web,1,37.99
2024-06-14,SO-700094,Home,Web,3,128.28
2024-06-14,SO-700095,Electronics,Web,4,72.08
2024-06-14,SO-700096,Home,Web,4,327.68
2024-06-14,SO-700097,Electronics,Marketplace,2,124.9
2024-06-14,SO-700098,Outdoor,Marketplace,2,120.8
2024-06-14,SO-700099,Apparel,Retail,1,57.88
2024-06-14,SO-700100,Home,Web,3,197.07
2024-06-14,SO-700101,Home,Web,2,199.3
2024-06-14,SO-700102,Apparel,Web,5,193.8
2024-06-15,SO-700103,Home,Web,4,352.04
2024-06-15,SO-700104,Electronics,Web,5,227.15
2024-06-15,SO-700105,Home,Web,5,157.9
2024-06-15,SO-700106,Apparel,Web,2,180.16
2024-06-15,SO-700107,Electronics,Retail,5,333.95
2024-06-15,SO-700108,Electronics,Web,3,251.19
2024-06-15,SO-700109,Electronics,Marketplace,3,159.03
2024-06-15,SO-700110,Outdoor,Marketplace,4,326.24
2024-06-16,SO-700111,Outdoor,Retail,4,291.52
2024-06-16,SO-700112,Apparel,Web,3,328.08
2024-06-16,SO-700113,Apparel,Marketplace,1,58.0
2024-06-16,SO-700114,Electronics,Web,4,449.48
2024-06-16,SO-700115,Outdoor,Marketplace,2,139.58
2024-06-17,SO-700116,Apparel,Retail,2,107.26
2024-06-17,SO-700117,Apparel,Marketplace,1,40.46
2024-06-17,SO-700118,Apparel,Web,3,569.73
2024-06-17,SO-700119,Apparel,Web,3,475.11
2024-06-17,SO-700120,Home,Web,-1,-78.08
2024-06-18,SO-700121,Electronics,Web,3,119.94
2024-06-18,SO-700122,Electronics,Web,4,152.76
2024-06-18,SO-700123,Electronics,Web,1,99.61
2024-06-18,SO-700124,Electronics,Web,2,107.78
2024-06-18,SO-700125,Apparel,Web,4,385.08
2024-06-19,SO-700126,Home,Web,3,109.74
2024-06-19,SO-700127,Apparel,Marketplace,5,249.25
2024-06-19,SO-700128,Electronics,Marketplace,2,138.84
2024-06-19,SO-700129,Home,Marketplace,3,40.2
2024-06-19,SO-700130,Home,Marketplace,5,428.0
2024-06-19,SO-700131,Apparel,Retail,1,42.99
2024-06-20,SO-700132,Electronics,Retail,4,101.48
2024-06-20,SO-700133,Home,Web,2,130.26
2024-06-20,SO-700134,Electronics,Marketplace,1,98.52
2024-06-20,SO-700135,Apparel,Marketplace,2,234.76
2024-06-20,SO-700136,Home,Marketplace,4,472.92
2024-06-20,SO-700137,Apparel,Retail,-1,-54.9
2024-06-20,SO-700138,Apparel,Web,3,312.33
2024-06-20,SO-700139,Home,Marketplace,5,606.45
2024-06-20,SO-700140,Home,Web,5,303.65
2024-06-20,SO-700141,Home,Web,1,13.15
2024-06-20,SO-700142,Electronics,Web,2,190.66
2024-06-21,SO-700143,Home,Web,3,110.37
2024-06-21,SO-700144,Home,Web,5,459.1
2024-06-21,SO-700145,Home,Marketplace,5,451.4
2024-06-21,SO-700146,Home,Web,4,405.76
2024-06-21,SO-700147,Electronics,Marketplace,1,109.51
2024-06-21,SO-700148,Home,Web,3,227.28
2024-06-21,SO-700149,Apparel,Web,3,80.94
2024-06-21,SO-700150,Outdoor,Marketplace,2,144.46
2024-06-21,SO-700151,Apparel,Retail,4,143.96
2024-06-22,SO-700152,Outdoor,Web,1,32.98
2024-06-22,SO-700153,Home,Marketplace,5,708.85
2024-06-22,SO-700154,Apparel,Web,1,61.93
2024-06-22,SO-700155,Electronics,Web,1,45.74
2024-06-22,SO-700156,Home,Web,-4,-283.8
2024-06-23,SO-700157,Electronics,Web,5,294.15
2024-06-23,SO-700158,Home,Retail,3,132.57
2024-06-23,SO-700159,Electronics,Marketplace,5,606.45
2024-06-23,SO-700160,Electronics,Web,2,19.12
2024-06-23,SO-700161,Outdoor,Web,5,326.05
2024-06-24,SO-700162,Home,Marketplace,4,334.72
2024-06-24,SO-700163,Apparel,Web,1,96.55
2024-06-24,SO-700164,Home,Web,1,129.06
2024-06-24,SO-700165,Apparel,Web,-1,-28.26
2024-06-24,SO-700166,Apparel,Marketplace,4,147.32
2024-06-25,SO-700167,Home,Web,1,6.46
2024-06-25,SO-700168,Electronics,Web,4,447.72
2024-06-25,SO-700169,Apparel,Retail,4,339.84
2024-06-26,SO-700170,Home,Web,5,266.6
2024-06-26,SO-700171,Apparel,Web,4,94.52
2024-06-26,SO-700172,Electronics,Web,2,61.34
2024-06-26,SO-700173,Outdoor,Marketplace,5,628.8
2024-06-26,SO-700174,Apparel,Web,4,264.48
2024-06-26,SO-700175,Apparel,Marketplace,4,218.12
2024-06-26,SO-700176,Apparel,Web,5,163.65
2024-06-26,SO-700177,Apparel,Retail,5,544.6
2024-06-26,SO-700178,Home,Web,1,77.57
2024-06-26,SO-700179,Outdoor,Marketplace,1,94.61
2024-06-26,SO-700180,Outdoor,Web,5,147.9
2024-06-27,SO-700181,Outdoor,Retail,1,8.84
2024-06-27,SO-700182,Electronics,Web,5,487.95
2024-06-27,SO-700183,Electronics,Web,4,248.04
2024-06-27,SO-700184,Electronics,Web,2,103.38
2024-06-27,SO-700185,Apparel,Web,1,98.71
2024-06-28,SO-700186,Electronics,Marketplace,4,510.72
2024-06-28,SO-700187,Apparel,Web,3,108.69
2024-06-28,SO-700188,Apparel,Retail,-1,-85.78
2024-06-28,SO-700189,Home,Web,1,32.24
2024-06-28,SO-700190,Outdoor,Web,5,245.4
2024-06-28,SO-700191,Electronics,Web,3,41.76
2024-06-28,SO-700192,Home,Retail,4,225.8
2024-06-28,SO-700193,Apparel,Web,3,204.0
2024-06-29,SO-700194,Outdoor,Marketplace,5,117.15
2024-06-29,SO-700195,Outdoor,Web,1,82.31
2024-06-29,SO-700196,Outdoor,Retail,3,368.76
2024-06-29,SO-700197,Outdoor,Marketplace,3,335.1
2024-06-29,SO-700198,Home,Web,1,72.08
2024-06-29,SO-700199,Apparel,Web,1,53.4
2024-06-29,SO-700200,Apparel,Web,1,101.03
2024-06-30,SO-700201,Apparel,Marketplace,5,963.9
2024-06-30,SO-700202,Home,Web,3,323.49
2024-06-30,SO-700203,Home,Marketplace,4,97.6
2024-06-30,SO-700204,Outdoor,Web,5,284.2
2024-07-01,SO-700205,Outdoor,Retail,3,405.06
2024-07-01,SO-700206,Home,Web,4,264.72
2024-07-01,SO-700207,Home,Web,2,45.94
2024-07-01,SO-700208,Outdoor,Marketplace,2,101.62
2024-07-01,SO-700209,Home,Marketplace,4,315.36
2024-07-02,SO-700210,Outdoor,Retail,4,123.72
2024-07-02,SO-700211,Apparel,Marketplace,3,346.35
2024-07-02,SO-700212,Home,Web,1,142.89
2024-07-02,SO-700213,Home,Web,3,168.84
2024-07-02,SO-700214,Outdoor,Retail,5,760.55
2024-07-02,SO-700215,Outdoor,Marketplace,2,58.12
2024-07-03,SO-700216,Home,Marketplace,1,102.98
2024-07-03,SO-700217,Outdoor,Retail,4,157.92
2024-07-03,SO-700218,Home,Web,-5,-355.3
2024-07-03,SO-700219,Electronics,Web,5,114.55
2024-07-03,SO-700220,Apparel,Web,1,137.08
2024-07-03,SO-700221,Outdoor,Web,4,249.56
2024-07-03,SO-700222,Home,Marketplace,4,731.2
2024-07-03,SO-700223,Outdoor,Web,4,71.08
2024-07-03,SO-700224,Home,Marketplace,5,298.25
2024-07-03,SO-700225,Electronics,Web,4,144.32
2024-07-04,SO-700226,Apparel,Retail,5,313.05
2024-07-04,SO-700227,Outdoor,Web,2,181.14
2024-07-04,SO-700228,Apparel,Web,5,135.0
2024-07-04,SO-700229,Home,Web,3,137.82
2024-07-04,SO-700230,Apparel,Marketplace,-3,-758.67
2024-07-04,SO-700231,Electronics,Web,2,61.14
2024-07-04,SO-700232,Electronics,Retail,2,242.98
2024-07-04,SO-700233,Outdoor,Marketplace,1,41.71
2024-07-04,SO-700234,Outdoor,Marketplace,5,330.45
2024-07-05,SO-700235,Home,Marketplace,2,157.8
2024-07-05,SO-700236,Outdoor,Retail,3,206.61
2024-07-05,SO-700237,Home,Web,2,20.88
2024-07-05,SO-700238,Home,Web,5,493.15
2024-07-05,SO-700239,Home,Web,3,153.72
2024-07-05,SO-700240,Electronics,Marketplace,3,135.09
2024-07-05,SO-700241,Home,Retail,1,96.85
2024-07-06,SO-700242,Home,Web,3,407.64
2024-07-06,SO-700243,Apparel,Marketplace,2,281.74
2024-07-06,SO-700244,Home,Marketplace,4,143.32
2024-07-06,SO-700245,Electronics,Web,5,113.65
2024-07-06,SO-700246,Electronics,Marketplace,5,761.7
2024-07-06,SO-700247,Electronics,Web,1,88.28
2024-07-06,SO-700248,Apparel,Marketplace,5,454.1
2024-07-06,SO-700249,Electronics,Web,1,68.01
2024-07-07,SO-700250,Outdoor,Marketplace,3,602.67
2024-07-07,SO-700251,Outdoor,Marketplace,1,138.03
2024-07-07,SO-700252,Electronics,Web,4,373.76
2024-07-07,SO-700253,Apparel,Web,4,67.24
2024-07-07,SO-700254,Outdoor,Retail,1,64.95
2024-07-07,SO-700255,Apparel,Marketplace,2,200.82
2024-07-07,SO-700256,Home,Marketplace,1,65.22
2024-07-08,SO-700257,Apparel,Web,3,12.0
2024-07-08,SO-700258,Electronics,Web,5,398.2
2024-07-08,SO-700259,Outdoor,Marketplace,3,80.97
2024-07-08,SO-700260,Home,Web,2,82.16
2024-07-08,SO-700261,Apparel,Web,5,586.15
2024-07-08,SO-700262,Home,Web,1,32.48
2024-07-08,SO-700263,Apparel,Web,2,214.4
2024-07-08,SO-700264,Apparel,Web,-2,-45.14
2024-07-08,SO-700265,Outdoor,Web,1,109.3
2024-07-08,SO-700266,Home,Web,2,176.8
2024-07-08,SO-700267,Apparel,Retail,4,38.24
2024-07-09,SO-700268,Apparel,Marketplace,-4,-159.36
2024-07-09,SO-700269,Apparel,Web,3,165.12
2024-07-09,SO-700270,Outdoor,Web,4,132.08
2024-07-09,SO-700271,Apparel,Web,2,43.86
2024-07-09,SO-700272,Outdoor,Web,5,404.25
2024-07-09,SO-700273,Home,Marketplace,5,462.6
2024-07-10,SO-700274,Electronics,Marketplace,4,324.76
2024-07-10,SO-700275,Home,Web,3,134.16
2024-07-10,SO-700276,Apparel,Marketplace,1,38.12
2024-07-10,SO-700277,Home,Web,4,251.92
2024-07-10,SO-700278,Electronics,Web,4,288.24
2024-07-10,SO-700279,Electronics,Web,4,168.16
2024-07-10,SO-700280,Home,Web,2,109.78
2024-07-11,SO-700281,Apparel,Web,3,230.76
2024-07-11,SO-700282,Apparel,Marketplace,5,421.9
2024-07-11,SO-700283,Outdoor,Web,2,106.02
2024-07-11,SO-700284,Home,Web,4,573.36
2024-07-11,SO-700285,Electronics,Retail,3,123.3
2024-07-11,SO-700286,Outdoor,Web,5,223.55
2024-07-12,SO-700287,Apparel,Marketplace,1,78.86
2024-07-12,SO-700288,Apparel,Web,2,142.74
2024-07-12,SO-700289,Apparel,Marketplace,5,446.8
2024-07-12,SO-700290,Outdoor,Marketplace,4,317.2
2024-07-13,SO-700291,Outdoor,Retail,1,109.85
2024-07-13,SO-700292,Home,Web,5,261.3
2024-07-13,SO-700293,Apparel,Web,1,77.07
2024-07-13,SO-700294,Apparel,Web,1,156.91
2024-07-13,SO-700295,Electronics,Marketplace,5,278.7
2024-07-13,SO-700296,Electronics,Web,1,152.51
2024-07-13,SO-700297,Home,Marketplace,2,165.96
2024-07-14,SO-700298,Electronics,Web,1,77.96
2024-07-14,SO-700299,Apparel,Web,2,130.92
2024-07-14,SO-700300,Home,Web,3,118.08
2024-07-14,SO-700301,Apparel,Web,2,61.14
2024-07-14,SO-700302,Apparel,Web,3,115.92
2024-07-15,SO-700303,Apparel,Web,2,114.54
2024-07-15,SO-700304,Home,Web,5,516.85
2024-07-15,SO-700305,Outdoor,Retail,3,62.31
2024-07-15,SO-700306,Electronics,Marketplace,5,186.5
2024-07-15,SO-700307,Home,Web,5,355.95
2024-07-15,SO-700308,Outdoor,Retail,1,48.23
2024-07-15,SO-700309,Apparel,Retail,1,99.66
2024-07-15,SO-700310,Home,Web,2,103.74
2024-07-16,SO-700311,Home,Retail,-3,-98.46
2024-07-16,SO-700312,Apparel,Retail,3,317.04
2024-07-16,SO-700313,Outdoor,Web,5,341.7
2024-07-16,SO-700314,Electronics,Web,3,128.91
2024-07-16,SO-700315,Home,Marketplace,3,44.55
2024-07-16,SO-700316,Apparel,Web,4,104.76
2024-07-16,SO-700317,Apparel,Web,3,160.17
2024-07-16,SO-700318,Apparel,Web,1,15.46
2024-07-16,SO-700319,Apparel,Web,5,383.0
2024-07-16,SO-700320,Electronics,Marketplace,2,173.78
2024-07-16,SO-700321,Outdoor,Web,1,51.53
2024-07-17,SO-700322,Apparel,Marketplace,5,430.15
2024-07-17,SO-700323,Electronics,Web,1,61.65
2024-07-17,SO-700324,Apparel,Web,1,143.1
2024-07-17,SO-700325,Home,Web,-2,-95.58
2024-07-17,SO-700326,Apparel,Retail,2,216.12
2024-07-17,SO-700327,Apparel,Retail,5,552.3
2024-07-18,SO-700328,Apparel,Marketplace,2,131.26
2024-07-18,SO-700329,Apparel,Marketplace,2,222.22
2024-07-18,SO-700330,Apparel,Marketplace,2,167.76
2024-07-18,SO-700331,Outdoor,Web,-2,-298.9
2024-07-18,SO-700332,Electronics,Web,5,455.05
2024-07-18,SO-700333,Apparel,Web,-3,-106.23
2024-07-18,SO-700334,Electronics,Web,2,76.9
2024-07-19,SO-700335,Outdoor,Web,3,223.41
2024-07-19,SO-700336,Apparel,Marketplace,1,94.15
2024-07-19,SO-700337,Electronics,Web,1,87.99
2024-07-19,SO-700338,Apparel,Web,1,144.34
2024-07-19,SO-700339,Home,Web,4,301.64
2024-07-19,SO-700340,Home,Marketplace,-4,-101.0
2024-07-19,SO-700341,Apparel,Web,2,124.22
2024-07-20,SO-700342,Home,Web,2,131.2
2024-07-20,SO-700343,Apparel,Marketplace,2,71.6
2024-07-20,SO-700344,Apparel,Marketplace,3,201.87
2024-07-20,SO-700345,Electronics,Marketplace,5,117.05
2024-07-21,SO-700346,Home,Web,5,472.15
2024-07-21,SO-700347,Apparel,Retail,4,166.04
2024-07-21,SO-700348,Apparel,Marketplace,1,20.84
2024-07-21,SO-700349,Electronics,Web,1,46.34
2024-07-21,SO-700350,Apparel,Retail,2,128.16
2024-07-21,SO-700351,Electronics,Web,3,367.05
2024-07-22,SO-700352,Apparel,Marketplace,5,291.45
2024-07-22,SO-700353,Apparel,Web,3,162.18
2024-07-22,SO-700354,Home,Web,5,80.2
2024-07-22,SO-700355,Home,Web,3,272.4
2024-07-22,SO-700356,Apparel,Marketplace,1,52.09
2024-07-22,SO-700357,Electronics,Retail,1,83.1
2024-07-22,SO-700358,Electronics,Marketplace,5,127.65
2024-07-22,SO-700359,Outdoor,Marketplace,-1,-65.91
2024-07-23,SO-700360,Home,Marketplace,1,123.68
2024-07-23,SO-700361,Apparel,Retail,1,46.5
2024-07-23,SO-700362,Apparel,Web,4,157.44
2024-07-23,SO-700363,Outdoor,Web,1,110.96
2024-07-23,SO-700364,Home,Web,3,230.37
2024-07-23,SO-700365,Outdoor,Web,3,335.4
2024-07-24,SO-700366,Apparel,Marketplace,4,143.52
2024-07-24,SO-700367,Apparel,Web,-5,-299.7
2024-07-24,SO-700368,Outdoor,Retail,3,228.96
2024-07-25,SO-700369,Electronics,Retail,4,350.36
2024-07-25,SO-700370,Home,Web,2,110.22
2024-07-25,SO-700371,Home,Web,5,243.45
2024-07-25,SO-700372,Electronics,Web,-3,-105.93
2024-07-25,SO-700373,Apparel,Marketplace,2,101.44
2024-07-25,SO-700374,Home,Marketplace,1,36.03
2024-07-25,SO-700375,Outdoor,Web,5,408.5
2024-07-25,SO-700376,Home,Web,4,324.72
2024-07-26,SO-700377,Apparel,Marketplace,4,98.8
2024-07-26,SO-700378,Apparel,Marketplace,4,502.24
2024-07-26,SO-700379,Outdoor,Web,4,153.64
2024-07-26,SO-700380,Outdoor,Web,4,356.52
2024-07-26,SO-700381,Outdoor,Retail,1,31.15
2024-07-26,SO-700382,Outdoor,Web,2,76.34
2024-07-26,SO-700383,Electronics,Retail,2,148.56
2024-07-26,SO-700384,Home,Web,4,331.84
2024-07-27,SO-700385,Outdoor,Web,1,107.6
2024-07-27,SO-700386,Apparel,Marketplace,3,377.28
2024-07-27,SO-700387,Apparel,Marketplace,2,145.64
2024-07-27,SO-700388,Apparel,Web,-5,-484.7
2024-07-27,SO-700389,Apparel,Marketplace,2,120.9
2024-07-28,SO-700390,Apparel,Web,-2,-35.3
2024-07-28,SO-700391,Apparel,Marketplace,1,54.42
2024-07-28,SO-700392,Home,Marketplace,1,50.6
2024-07-28,SO-700393,Outdoor,Web,4,618.4
2024-07-28,SO-700394,Home,Marketplace,3,198.24
2024-07-29,SO-700395,Home,Retail,3,992.43
2024-07-29,SO-700396,Electronics,Web,5,139.15
2024-07-29,SO-700397,Apparel,Marketplace,4,410.6
2024-07-29,SO-700398,Electronics,Web,2,129.28
2024-07-29,SO-700399,Apparel,Web,-5,-155.45
2024-07-29,SO-700400,Electronics,Retail,2,217.62
2024-07-29,SO-700401,Outdoor,Web,3,248.61
2024-07-29,SO-700402,Electronics,Retail,4,466.68
