Month,Plan,Region,Accounts,MRR,Churn Rate
2024-01-01,Starter,North America,9,7462.34,0.0358
2024-01-01,Starter,EMEA,6,5172.08,0.0339
2024-01-01,Starter,APAC,3,3073.94,0.0367
2024-01-01,Growth,North America,29,24652.83,0.0387
2024-01-01,Growth,EMEA,16,15798.8,0.0275
2024-01-01,Growth,APAC,8,8781.48,0.0441
2024-01-01,Enterprise,North America,66,56580.17,0.0303
2024-01-01,Enterprise,EMEA,43,38258.45,0.031
2024-01-01,Enterprise,APAC,21,21363.46,0.0349
2024-02-01,Starter,North America,10,9527.32,0.0365
2024-02-01,Starter,EMEA,5,4955.48,0.0222
2024-02-01,Starter,APAC,3,2833.16,0.0415
2024-02-01,Growth,North America,30,27337.77,0.037
2024-02-01,Growth,EMEA,18,15182.63,0.0506
2024-02-01,Growth,APAC,10,9927.01,0.025
2024-02-01,Enterprise,North America,63,57091.1,0.0226
2024-02-01,Enterprise,EMEA,45,41016.37,0.0427
2024-02-01,Enterprise,APAC,26,22007.05,0.0338
2024-03-01,Starter,North America,9,8794.79,0.0217
2024-03-01,Starter,EMEA,6,5671.36,0.0278
2024-03-01,Starter,APAC,3,3135.51,0.0414
2024-03-01,Growth,North America,30,27923.47,0.0266
2024-03-01,Growth,EMEA,18,16699.46,0.0287
2024-03-01,Growth,APAC,10,9557.06,0.0414
2024-03-01,Enterprise,North America,68,69823.88,0.0278
2024-03-01,Enterprise,EMEA,43,34770.43,0.0116
2024-03-01,Enterprise,APAC,25,20467.66,0.0374
2024-04-01,Starter,North America,10,9360.52,0.0417
2024-04-01,Starter,EMEA,6,4597.14,0.0171
2024-04-01,Starter,APAC,3,3511.09,0.0302
2024-04-01,Growth,North America,30,25851.95,0.0354
2024-04-01,Growth,EMEA,17,16181.84,0.0321
2024-04-01,Growth,APAC,10,9441.88,0.0395
2024-04-01,Enterprise,North America,68,61452.32,0.0277
2024-04-01,Enterprise,EMEA,45,40200.62,0.0469
2024-04-01,Enterprise,APAC,24,23359.29,0.0263
2024-05-01,Starter,North America,10,9208.55,0.0279
2024-05-01,Starter,EMEA,7,5746.56,0.0447
2024-05-01,Starter,APAC,3,3125.91,0.0399
2024-05-01,Growth,North America,28,26030.16,0.0311
2024-05-01,Growth,EMEA,20,18557.14,0.0284
2024-05-01,Growth,APAC,10,10330.9,0.0346
2024-05-01,Enterprise,North America,71,68239.89,0.0456
2024-05-01,Enterprise,EMEA,47,39052.86,0.0275
2024-05-01,Enterprise,APAC,25,23558.34,0.0383
2024-06-01,Starter,North America,10,9319.7,0.0392
2024-06-01,Starter,EMEA,6,6513.31,0.0191
2024-06-01,Starter,APAC,3,3501.47,0.0232
2024-06-01,Growth,North America,33,29583.92,0.0249
2024-06-01,Growth,EMEA,21,18386.5,0.0268
2024-06-01,Growth,APAC,11,10244.72,0.0182
2024-06-01,Enterprise,North America,73,64194.03,0.0138
2024-06-01,Enterprise,EMEA,50,46956.9,0.0407
2024-06-01,Enterprise,APAC,23,24253.6,0.0365
2024-07-01,Starter,North America,10,10437.39,0.0219
2024-07-01,Starter,EMEA,6,5850.08,0.0251
2024-07-01,Starter,APAC,3,3578.16,0.0223
2024-07-01,Growth,North America,32,29226.13,0.0488
2024-07-01,Growth,EMEA,19,19394.64,0.0457
2024-07-01,Growth,APAC,10,9815.34,0.0283
2024-07-01,Enterprise,North America,73,76656.33,0.0271
