Created At,Ticket ID,Team,Priority,Resolution Hours,Reopened
2025-01-01,TKT-50000,Billing,Low,20.9,0
2025-01-01,TKT-50001,Onboarding,Low,7.8,0
2025-01-01,TKT-50002,Billing,Medium,24.2,0
2025-01-01,TKT-50003,Platform,Low,12.7,0
2025-01-01,TKT-50004,Platform,Medium,23.4,0
2025-01-01,TKT-50005,Data,High,4.5,0
2025-01-01,TKT-50006,Billing,High,7.9,0
2025-01-01,TKT-50007,Platform,Low,19.9,0
2025-01-02,TKT-50008,Billing,Low,8.2,0
2025-01-02,TKT-50009,Platform,Urgent,7.0,0
2025-01-02,TKT-50010,Billing,High,34.7,0
2025-01-02,TKT-50011,Platform,Low,9.9,0
2025-01-02,TKT-50012,Onboarding,Low,50.7,0
2025-01-02,TKT-50013,Onboarding,Low,38.3,0
2025-01-02,TKT-50014,Data,Low,6.2,0
2025-01-03,TKT-50015,Billing,Low,17.9,0
2025-01-03,TKT-50016,Data,Low,10.7,0
2025-01-03,TKT-50017,Data,Medium,20.3,0
2025-01-03,TKT-50018,Onboarding,Medium,4.9,0
2025-01-03,TKT-50019,Data,Low,8.7,0
2025-01-03,TKT-50020,Platform,Medium,15.9,1
2025-01-03,TKT-50021,Platform,High,5.2,0
2025-01-04,TKT-50022,Onboarding,High,22.3,0
2025-01-04,TKT-50023,Onboarding,High,2.6,0
2025-01-04,TKT-50024,Billing,Medium,30.4,0
2025-01-04,TKT-50025,Billing,Medium,12.3,0
2025-01-04,TKT-50026,Platform,Low,2.8,0
2025-01-04,TKT-50027,Onboarding,Low,30.5,0
2025-01-04,TKT-50028,Onboarding,Medium,23.0,0
2025-01-04,TKT-50029,Platform,Low,25.7,1
2025-01-04,TKT-50030,Platform,Low,0.5,0
2025-01-04,TKT-50031,Billing,Low,7.5,0
2025-01-05,TKT-50032,Billing,High,13.2,0
2025-01-05,TKT-50033,Onboarding,Medium,10.8,0
2025-01-05,TKT-50034,Billing,High,29.7,0
2025-01-05,TKT-50035,Onboarding,Medium,15.8,0
2025-01-05,TKT-50036,Onboarding,Low,16.3,0
2025-01-05,TKT-50037,Data,Low,12.9,1
2025-01-05,TKT-50038,Billing,Low,27.8,1
2025-01-05,TKT-50039,Platform,Low,20.8,0
2025-01-06,TKT-50040,Platform,High,22.3,0
2025-01-06,TKT-50041,Platform,Low,18.5,0
2025-01-06,TKT-50042,Platform,Low,6.4,0
2025-01-06,TKT-50043,Onboarding,Low,30.3,0
2025-01-06,TKT-50044,Billing,Low,26.5,0
2025-01-06,TKT-50045,Platform,High,22.9,0
2025-01-07,TKT-50046,Billing,Low,8.1,0
2025-01-07,TKT-50047,Onboarding,Low,4.4,0
2025-01-07,TKT-50048,Billing,Medium,15.8,0
2025-01-07,TKT-50049,Onboarding,Low,5.1,0
2025-01-07,TKT-50050,Billing,Low,12.1,0
2025-01-07,TKT-50051,Billing,Low,8.1,0
2025-01-07,TKT-50052,Data,High,18.0,0
2025-01-07,TKT-50053,Platform,Medium,4.3,1
2025-01-07,TKT-50054,Onboarding,High,9.9,0
2025-01-08,TKT-50055,Data,High,13.6,0
2025-01-08,TKT-50056,Onboarding,Low,8.1,0
2025-01-08,TKT-50057,Platform,Low,4.5,0
2025-01-08,TKT-50058,Platform,Medium,21.8,0
2025-01-08,TKT-50059,Platform,Low,27.8,0
2025-01-08,TKT-50060,Onboarding,Low,10.4,0
2025-01-08,TKT-50061,Onboarding,Low,6.8,0
2025-01-08,TKT-50062,Billing,Low,9.8,0
2025-01-09,TKT-50063,Billing,Urgent,4.7,0
2025-01-09,TKT-50064,Platform,High,7.0,0
2025-01-09,TKT-50065,Billing,Low,13.3,1
2025-01-09,TKT-50066,Billing,Medium,21.6,0
2025-01-09,TKT-50067,Billing,Medium,19.4,0
2025-01-09,TKT-50068,Billing,High,12.9,0
2025-01-09,TKT-50069,Platform,Low,25.1,0
2025-01-09,TKT-50070,Onboarding,Urgent,9.7,0
2025-01-09,TKT-50071,Data,Urgent,8.0,0
2025-01-09,TKT-50072,Billing,Low,16.5,0
2025-01-10,TKT-50073,Billing,Low,11.0,1
2025-01-10,TKT-50074,Platform,Medium,20.1,0
2025-01-10,TKT-50075,Billing,Medium,44.2,0
2025-01-10,TKT-50076,Onboarding,High,5.5,0
2025-01-10,TKT-50077,Onboarding,Low,29.8,0
2025-01-10,TKT-50078,Onboarding,Medium,12.9,0
2025-01-10,TKT-50079,Billing,Urgent,13.5,0
2025-01-10,TKT-50080,Data,Low,6.2,0
2025-01-11,TKT-50081,Platform,Low,4.2,0
2025-01-11,TKT-50082,Platform,Medium,11.6,1
2025-01-11,TKT-50083,Platform,Low,16.0,0
2025-01-11,TKT-50084,Platform,Urgent,13.6,0
2025-01-11,TKT-50085,Billing,Low,26.8,0
2025-01-11,TKT-50086,Onboarding,Low,8.2,0
2025-01-11,TKT-50087,Platform,Medium,12.6,0
2025-01-11,TKT-50088,Billing,Low,12.9,0
2025-01-12,TKT-50089,Onboarding,High,34.1,0
2025-01-12,TKT-50090,Platform,Medium,19.3,0
2025-01-12,TKT-50091,Onboarding,Medium,2.7,0
2025-01-12,TKT-50092,Platform,Medium,7.8,0
2025-01-12,TKT-50093,Onboarding,Low,21.6,0
2025-01-12,TKT-50094,Platform,Low,19.8,0
2025-01-12,TKT-50095,Data,Urgent,11.1,0
2025-01-12,TKT-50096,Platform,Low,27.1,0
2025-01-12,TKT-50097,Data,Low,1.0,0
2025-01-12,TKT-50098,Data,Low,33.9,0
2025-01-13,TKT-50099,Onboarding,Medium,6.0,0
2025-01-13,TKT-50100,Onboarding,Low,9.2,0
2025-01-13,TKT-50101,Platform,Medium,13.8,1
2025-01-14,TKT-50102,Data,Medium,23.9,0
2025-01-14,TKT-50103,Billing,Urgent,22.7,0
2025-01-15,TKT-50104,Platform,Low,9.6,1
2025-01-15,TKT-50105,Onboarding,Low,5.8,0
2025-01-15,TKT-50106,Platform,Low,5.3,0
2025-01-15,TKT-50107,Platform,Low,3.7,1
2025-01-15,TKT-50108,Billing,Medium,13.9,0
2025-01-15,TKT-50109,Platform,Low,5.4,0
2025-01-16,TKT-50110,Onboarding,Low,16.3,0
2025-01-16,TKT-50111,Platform,Medium,7.7,0
2025-01-16,TKT-50112,Data,Low,10.3,0
2025-01-16,TKT-50113,Platform,Medium,14.7,1
2025-01-16,TKT-50114,Billing,Low,7.7,0
2025-01-16,TKT-50115,Platform,Low,12.9,0
2025-01-17,TKT-50116,Platform,Low,12.1,0
